"Date Printed: Sunday, April 16, 2023 10:46:30 PM"
Title: "AIDS classifications | AIDS deaths | AIDS prevalence | HIV deaths | HIV diagnoses | HIV prevalence | 2008 | 2009 | 2010 | 2011 | 2012 | 2013 | 2014 | 2015 | 2016 | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories"
Footnote(s): Data for years 2021 and 2022 are preliminary (subject to a 12-month reporting delay). Data for the year 2020 should be interpreted with caution due to the impact of the COVID-19 pandemic on access to HIV testing, care-related services, and case surveillance activities in state/local jurisdictions. Inclusion of 2020 through 2022 data in trend assessments is discouraged. Data by transmission category presented based on sex assigned at birth and are adjusted for missing transmission category. See Technical notes for more details on data availability and stratifications.
Death data for the year 2020 are preliminary and based on death data received by CDC as of December 2021. Death data based on residence at death. See Technical Notes for death reporting by jurisdiction.
Prevalence data for the year 2020 are preliminary and based on death data received by CDC as of December 2021. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
^ Jurisdiction with incomplete reporting of deaths for most recent year.
The 'Sex' column is used for either sex at birth or gender identity.
NA - Not applicable.



指标 ,年 ,地理 ,案例 ,每 100000 人的比率 
"AIDS classifications","2008","Alabama","01","376","9.7"
"AIDS classifications","2009","Alabama","01","265","6.8"
"AIDS classifications","2010","Alabama","01","246","6.2"
"AIDS classifications","2011","Alabama","01","484","12.1"
"AIDS classifications","2012","Alabama","01","421","10.5"
"AIDS classifications","2013","Alabama","01","390","9.6"
"AIDS classifications","2014","Alabama","01","320","7.9"
"AIDS classifications","2015","Alabama","01","344","8.4"
"AIDS classifications","2016","Alabama","01","296","7.2"
"AIDS classifications","2017","Alabama","01","292","7.1"
"AIDS classifications","2018","Alabama","01","289","7.0"
"AIDS classifications","2019","Alabama","01","264","6.4"
"AIDS classifications","2020 (COVID-19 Pandemic)","Alabama","01","271","6.5"
"HIV diagnoses","2008","Alabama","01","701","18.1"
"HIV diagnoses","2009","Alabama","01","686","17.6"
"HIV diagnoses","2010","Alabama","01","685","17.2"
"HIV diagnoses","2011","Alabama","01","672","16.8"
"HIV diagnoses","2012","Alabama","01","662","16.5"
"HIV diagnoses","2013","Alabama","01","627","15.5"
"HIV diagnoses","2014","Alabama","01","660","16.3"
"HIV diagnoses","2015","Alabama","01","665","16.3"
"HIV diagnoses","2016","Alabama","01","653","16.0"
"HIV diagnoses","2017","Alabama","01","647","15.8"
"HIV diagnoses","2018","Alabama","01","604","14.7"
"HIV diagnoses","2019","Alabama","01","635","15.4"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Alabama","01","585","14.1"
"AIDS deaths","2008","Alabama^","01","215","5.6"
"AIDS deaths","2009","Alabama^","01","214","5.5"
"AIDS deaths","2010","Alabama^","01","182","4.6"
"AIDS deaths","2011","Alabama^","01","180","4.5"
"AIDS deaths","2012","Alabama^","01","201","5.0"
"AIDS deaths","2013","Alabama^","01","183","4.5"
"AIDS deaths","2014","Alabama^","01","210","5.2"
"AIDS deaths","2015","Alabama^","01","208","5.1"
"AIDS deaths","2016","Alabama^","01","192","4.7"
"AIDS deaths","2017","Alabama^","01","199","4.9"
"AIDS deaths","2018","Alabama^","01","166","4.0"
"AIDS deaths","2019","Alabama^","01","172","4.2"
"AIDS deaths","2020 (COVID-19 Pandemic)","Alabama^","01","171","4.1"
"AIDS prevalence","2008","Alabama^","01","4,020","103.8"
"AIDS prevalence","2009","Alabama^","01","4,104","105.3"
"AIDS prevalence","2010","Alabama^","01","4,436","111.4"
"AIDS prevalence","2011","Alabama^","01","4,842","121.1"
"AIDS prevalence","2012","Alabama^","01","5,045","125.5"
"AIDS prevalence","2013","Alabama^","01","5,225","129.2"
"AIDS prevalence","2014","Alabama^","01","5,390","132.8"
"AIDS prevalence","2015","Alabama^","01","5,419","133.1"
"AIDS prevalence","2016","Alabama^","01","5,541","135.7"
"AIDS prevalence","2017","Alabama^","01","5,730","139.9"
"AIDS prevalence","2018","Alabama^","01","5,892","143.3"
"AIDS prevalence","2019","Alabama^","01","6,038","146.3"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Alabama^","01","6,162","148.7"
"HIV deaths","2008","Alabama^","01","283","7.3"
"HIV deaths","2009","Alabama^","01","307","7.9"
"HIV deaths","2010","Alabama^","01","266","6.7"
"HIV deaths","2011","Alabama^","01","252","6.3"
"HIV deaths","2012","Alabama^","01","279","6.9"
"HIV deaths","2013","Alabama^","01","240","5.9"
"HIV deaths","2014","Alabama^","01","277","6.8"
"HIV deaths","2015","Alabama^","01","276","6.8"
"HIV deaths","2016","Alabama^","01","258","6.3"
"HIV deaths","2017","Alabama^","01","261","6.4"
"HIV deaths","2018","Alabama^","01","234","5.7"
"HIV deaths","2019","Alabama^","01","272","6.6"
"HIV deaths","2020 (COVID-19 Pandemic)","Alabama^","01","268","6.5"
"HIV prevalence","2008","Alabama^","01","9,810","253.4"
"HIV prevalence","2009","Alabama^","01","10,216","262.0"
"HIV prevalence","2010","Alabama^","01","10,547","265.0"
"HIV prevalence","2011","Alabama^","01","11,047","276.3"
"HIV prevalence","2012","Alabama^","01","11,347","282.3"
"HIV prevalence","2013","Alabama^","01","11,718","289.9"
"HIV prevalence","2014","Alabama^","01","12,114","298.4"
"HIV prevalence","2015","Alabama^","01","12,074","296.5"
"HIV prevalence","2016","Alabama^","01","12,478","305.5"
"HIV prevalence","2017","Alabama^","01","13,010","317.6"
"HIV prevalence","2018","Alabama^","01","13,448","327.2"
"HIV prevalence","2019","Alabama^","01","13,849","335.4"
"HIV prevalence","2020 (COVID-19 Pandemic)","Alabama^","01","14,158","341.6"
"AIDS classifications","2008","Alaska","02","18","3.2"
"AIDS classifications","2009","Alaska","02","15","2.7"
"AIDS classifications","2010","Alaska","02","31","5.4"
"AIDS classifications","2011","Alaska","02","21","3.6"
"AIDS classifications","2012","Alaska","02","18","3.0"
"AIDS classifications","2013","Alaska","02","16","2.7"
"AIDS classifications","2014","Alaska","02","14","2.3"
"AIDS classifications","2015","Alaska","02","16","2.7"
"AIDS classifications","2016","Alaska","02","21","3.5"
"AIDS classifications","2017","Alaska","02","13","2.2"
"AIDS classifications","2018","Alaska","02","11","1.8"
"AIDS classifications","2019","Alaska","02","8","1.3"
"AIDS classifications","2020 (COVID-19 Pandemic)","Alaska","02","10","1.7"
"AIDS deaths","2008","Alaska","02","16","2.9"
"AIDS deaths","2009","Alaska","02","12","2.1"
"AIDS deaths","2010","Alaska","02","12","2.1"
"AIDS deaths","2011","Alaska","02","9","1.5"
"AIDS deaths","2012","Alaska","02","8","1.3"
"AIDS deaths","2013","Alaska","02","13","2.2"
"AIDS deaths","2014","Alaska","02","10","1.7"
"AIDS deaths","2015","Alaska","02","9","1.5"
"AIDS deaths","2016","Alaska","02","7","1.2"
"AIDS deaths","2017","Alaska","02","4","0.7"
"AIDS deaths","2018","Alaska","02","8","1.3"
"AIDS deaths","2019","Alaska","02","9","1.5"
"AIDS deaths","2020 (COVID-19 Pandemic)","Alaska","02","12","2.0"
"AIDS prevalence","2008","Alaska","02","318","56.9"
"AIDS prevalence","2009","Alaska","02","319","56.4"
"AIDS prevalence","2010","Alaska","02","370","64.0"
"AIDS prevalence","2011","Alaska","02","377","64.5"
"AIDS prevalence","2012","Alaska","02","371","62.6"
"AIDS prevalence","2013","Alaska","02","363","60.5"
"AIDS prevalence","2014","Alaska","02","344","57.3"
"AIDS prevalence","2015","Alaska","02","364","60.5"
"AIDS prevalence","2016","Alaska","02","381","63.0"
"AIDS prevalence","2017","Alaska","02","387","64.1"
"AIDS prevalence","2018","Alaska","02","377","62.7"
"AIDS prevalence","2019","Alaska","02","371","61.8"
"AIDS prevalence","2020 (COVID-19 Pandemic)","Alaska","02","369","61.5"
"HIV deaths","2008","Alaska","02","20","3.6"
"HIV deaths","2009","Alaska","02","13","2.3"
"HIV deaths","2010","Alaska","02","16","2.8"
"HIV deaths","2011","Alaska","02","12","2.1"
"HIV deaths","2012","Alaska","02","11","1.9"
"HIV deaths","2013","Alaska","02","16","2.7"
"HIV deaths","2014","Alaska","02","12","2.0"
"HIV deaths","2015","Alaska","02","12","2.0"
"HIV deaths","2016","Alaska","02","12","2.0"
"HIV deaths","2017","Alaska","02","7","1.2"
"HIV deaths","2018","Alaska","02","9","1.5"
"HIV deaths","2019","Alaska","02","12","2.0"
"HIV deaths","2020 (COVID-19 Pandemic)","Alaska","02","17","2.8"
"HIV diagnoses","2008","Alaska","02","39","7.0"
"HIV diagnoses","2009","Alaska","02","21","3.7"
"HIV diagnoses","2010","Alaska","02","36","6.2"
"HIV diagnoses","2011","Alaska","02","23","3.9"
"HIV diagnoses","2012","Alaska","02","28","4.7"
"HIV diagnoses","2013","Alaska","02","23","3.8"
"HIV diagnoses","2014","Alaska","02","37","6.2"
"HIV diagnoses","2015","Alaska","02","25","4.2"
"HIV diagnoses","2016","Alaska","02","37","6.1"
"HIV diagnoses","2017","Alaska","02","30","5.0"
"HIV diagnoses","2018","Alaska","02","23","3.8"
"HIV diagnoses","2019","Alaska","02","27","4.5"
"HIV diagnoses","2020 (COVID-19 Pandemic)","Alaska","02","29","4.8"
"HIV prevalence","2008","Alaska","02","542","96.9"
"HIV prevalence","2009","Alaska","02","549","97.0"
"HIV prevalence","2010","Alaska","02","639","110.6"
"HIV prevalence","2011","Alaska","02","657","112.3"
"HIV prevalence","2012","Alaska","02","648","109.3"
"HIV prevalence","2013","Alaska","02","640","106.7"
"HIV prevalence","2014","Alaska","02","618","103.0"
"HIV prevalence","2015","Alaska","02","652","108.4"
"HIV prevalence","2016","Alaska","02","689","113.9"
"HIV prevalence","2017","Alaska","02","713","118.0"
"HIV prevalence","2018","Alaska","02","707","117.5"
"HIV prevalence","2019","Alaska","02","722","120.2"
"HIV prevalence","2020 (COVID-19 Pandemic)","Alaska","02","730","121.7"
"AIDS classifications","2008","Arizona","04","518","9.9"
"AIDS classifications","2009","Arizona","04","505","9.5"
"AIDS classifications","2010","Arizona","04","469","9.0"
"AIDS classifications","2011","Arizona","04","354","6.7"
"AIDS classifications","2012","Arizona","04","304","5.6"
"AIDS classifications","2013","Arizona","04","353","6.5"
"AIDS classifications","2014","Arizona","04","305","5.5"
"AIDS classifications","2015","Arizona","04","282","5.0"
"AIDS classifications","2016","Arizona","04","289","5.0"
"AIDS classifications","2017","Arizona","04","303","5.2"
"AIDS classifications","2018","Arizona","04","293","4.9"
"AIDS classifications","2019","Arizona","04","257","4.2"
"AIDS classifications","2020 (COVID-19 Pandemic)","Arizona","04","263","4.2"
"AIDS deaths","2008","Arizona","04","185","3.5"
"AIDS deaths","2009","Arizona","04","176","3.3"
"AIDS deaths","2010","Arizona","04","164","3.1"
"AIDS deaths","2011","Arizona","04","153","2.9"
"AIDS deaths","2012","Arizona","04","167","3.1"
"AIDS deaths","2013","Arizona","04","172","3.1"
"AIDS deaths","2014","Arizona","04","175","3.1"
"AIDS deaths","2015","Arizona","04","174","3.1"
"AIDS deaths","2016","Arizona","04","196","3.4"
"AIDS deaths","2017","Arizona","04","195","3.3"
"AIDS deaths","2018","Arizona","04","200","3.3"
"AIDS deaths","2019","Arizona","04","171","2.8"
"AIDS deaths","2020 (COVID-19 Pandemic)","Arizona","04","200","3.2"
"AIDS prevalence","2008","Arizona","04","5,030","96.1"
